# Generated from RO3 Recovery Localization_zh_CN.lua.bytes
# Japanese values are NOT stored here; split_1000 parts 1-27 remain canonical.
# zh_CN_sha256=c2b07cf34c138d97351273ad00b1db2645a47be1ff49f4e108f531911963c614
# en_sha256=5ea8f468a675efe64a71eef887e485266d58edf6ce69e52a3d12abbe087340c7
# english_skill_ids_verified=1823
ID	English	ChineseSimplified
10110201038	Storm Gust	暴风雪【无需翻译】
10110201039	Summon Clone	召唤分身【无需翻译】
10110201040	Doppelganger	死灵【无需翻译】
10110201041	Eddga Normal Attack	虎王普攻【无需翻译】
10110201042	Scorched Earth Brand	焦土烙印【无需翻译】
10110201043	Blazing Tiger Roar	虎啸炎波【无需翻译】
10110201044	Blazing Pursuit	炽热追踪【无需翻译】
10110201045	Tiger Leap Quake	虎跃震击【无需翻译】
10110201046	Eddga-Placeholder	虎王-占位【无需翻译】
10110201047	Gravestone Blast	墓碑爆破【无需翻译】
10110201048	Abyssal Cross Impact	深渊十字斩【无需翻译】
10110201049	Wavebreaker Strike	破浪击【无需翻译】
10110201050	Explosive Tide	爆裂潮汐【无需翻译】
10110201051	Cannonball Barrage	天降炮弹【无需翻译】
10110201052	Drake Normal Attack	海盗之王普攻【无需翻译】
10110201053	Horong Disappears	鬼火消失【无需翻译】
10110201054	Super Lightning Bolt	超级雷电术
10110201055	@{1}% HP	@{1}%血
10110201056	Smite	强攻
10110201057	First Aid	紧急治疗
10110201058	Empowered Warg Strike	强化狼爪击
10110201059	Sword Smash	长剑重击
10110201061	Spell Smash	法术重击
10110201062	Arrow Smash	弓箭重击
10110201063	Staff Smash	权杖重击
10110201064	Blade Smash	利刃重击
10110201065	Battle Axe Smash	战斧重击
10110201066	Normal Punch	普通挥拳
10110201067	Meditate	打坐
10110201068	Death Scythe	死亡镰刀
10110201069	Dark Sorcery	邪恶巫术
10110201070	Scythe Channeling	巨镰通灵
10110201071	Precision Surgery	精准手术
10110201072	Trauma Drain	创伤汲取
10110201073	AoE Surgery	群体手术
10110201074	Serpent Spirit's Protection	灵蛇守护
10110201075	Serpent Spirit's Embrace	蛇灵萦绕
10110201076	Phantom Barrier	魅影屏障
10110201077	Sinister Scythe	邪心镰刃
10110201078	Sinister Chains	邪心锁链
10110201079	Scythe Slash	镰刃斩击
10110201080	Angel Halo	天使辉环
10110201081	Holy Spirit Divine Light	圣灵治愈
10110201082	Holy Divine Light	圣光治愈
10110201083	Clear Breeze	清风
10110201084	Fox Fury	狐戾
10110201085	Raging Gale	狂风席卷
10110201086	Taunting Tease	嘲风戏弄
10110201087	Harvesting Scythe	收割镰刀
10110201088	Curse Slash	诅咒斩击
10110201089	Bobo's Protection	波波守护
10110201090	Bell Rampage	铃铛狂暴
10110201091	Moonlit Curse	月夜诅咒
10110201092	Bell Miracle	铃铛奇迹
10110201093	Passive Trigger Skill	被动触发技
10110201094	Nightfall Finale	夜幕绝唱
10110201095	Whirling Whip	鞭花乱舞
10110201096	Esen's Execution	艾斯恩处决
10110201097	Esen's Slaughter	艾斯恩屠戮
10110201098	Orc Roar	兽人咆哮
10110201099	Armor-Shattering War Cry	碎甲战吼
10110201100	Orc Stomp	兽人践踏
10110201101	Storm Fang	岚牙
10110201102	Rending Tiger Roar	虎啸裂断
10110201103	Enraged Tiger Roar	暴怒虎啸
10110201104	Savage Shield	野蛮护盾
10110201105	Tribal Protection	蛮族守护
10110201106	Goat's Protection	魔羌守护
10110201107	Heaven's Drive	崩裂术
10110201108	Stunning Tremor	震眩
10110201109	Root Burst	根须爆发
10110201110	Demonic Aura Surge	妖气喷涌
10110201111	Demonic Curse	妖咒
10110201112	Demonic Aura Burst	妖气爆发
10110201113	Choco Antics	巧克猴戏
10110201114	Agility Song	灵敏歌唱
10110201115	Swift Trick	迅捷把戏
10110201116	Abomination Blade	异形之刃
10110201117	Abominable Roar	异吼
10110201118	Abominable Shriek	异形尖啸
10110201119	Splash	溅射
10110201120	Eternal Curse	永恒诅咒
10110201121	Spreading Curse	诅咒蔓延
10110201122	Quicksand Trap Hunter	流沙陷阱
10110201123	Malicious Curse	恶意之咒
10110201124	Mummy's Curse	木乃伊之咒
10110201125	Soul's Protection	魂之庇护
10110201126	Spectral Protection	幽魂庇佑
10110201127	Spectral Wandering	幽魂游荡
10110201128	Tainted Soul Slash	浊魂斩
10110201129	Corrupted Soul Impact	浊魂冲击
10110201130	Gale Slash	狂风拂斩
10110201131	Wander Man Slash	邪骸浪人斩
10110201132	Slash	拔刀斩
10110201133	Corrupted Wander Man Core Passive	污染邪骸浪人核心被动
10110201134	Shadow Hoofprint	幽影蹄印
10110201135	Sinister Cry	邪恶啼鸣
10110201136	Shadow Summoning	幽影召唤
10110201137	Dance of Death	夺命之舞
10110201138	Gun-Smoke Severe Wound	枪雾重伤
10110201139	Full Barrage	火力倾泻
10110201140	Nightmare Entanglement	梦魇缠绕
10110201141	Fear Returns	恐惧再临
10110201142	Nightmare Stomp	梦魇践踏
10110201143	Blazing Fist Rampage	火拳暴走
10110201144	Flames Rekindled	烈火再燃
10110201145	Blazing Thrust	烈火突刺
10110201146	Flame Fist	炎拳
10110201147	Curse Puppet	诅咒傀儡
10110201148	Mind Fright	心神恐吓
10110201149	Ancient Tree Entanglement	古树缠绕
10110201150	Branch Guard	树枝守护
10110201151	Ancient Tree Normal Attack	古树普攻
10110201152	Flame Eruption	烈焰喷发
10110201153	Lava Erosion	熔岩侵蚀
10110201154	Lingering Breath	气息残留
10110201155	Lightning Surge	挥洒雷电
10110201156	Summon Lightning	召雷
10110201157	Nether Rift	冥影裂隙
10110201158	Undead Convergence	亡灵趋附
10110201159	Nether Phantom	冥影鬼影
10110201160	Daedre: Passive Trigger	戴德雷：被动触发
10110201161	Iron Ball Rampage	铁球大暴走
10110201162	Concussion	颅内震荡
10110201163	Iron Ball Smash	铁球重击
10110201164	Multiple Damage	多重伤害
10110201165	Fierce Blade	凶刃
10110201166	Blade Rampage	利刃暴走
10110201167	Dancing Blades	利刃飞舞
10110201168	Alert Reconnaissance	警觉侦查
10110201169	Farsight Revelation	远视显露
10110201170	Vine Strike	藤蔓打击
10110201171	Fruit Blossom Healing	花果疗愈
10110201172	Forest's Blessing	森林赐福
10110201173	Tree Spirit Curse	树之妖咒
10110201174	Echoing Bell	钟声回响
10110201175	Lingering Echo	余音萦绕
10110201176	Time Lock	时间封锁
10110201177	Ninja Art: Vanishing Trail	忍法·迷踪
10110201178	Ninja Art: Smoke Screen	忍法烟幕
10110201179	Ninja Art: Chain Blast	忍法·连环爆破
10110201180	Fire Ninja Darkness	火忍黑暗
10110201181	Silver Moon Descends	银月降临
10110201182	Radiant Moon	璀璨之月
10110201183	Silver Moon Strike	银月打击
10110201184	Vile Drain	邪恶汲取
10110201185	Dead Silence	静默无声
10110201186	Fatal Temptation	致命诱惑
10110201187	Demon's Whisper	恶魔低语
10110201188	Battle Charge	陷阵冲锋
10110201189	Cat Knight's Guard	猫骑士守护
10110201190	Flying Fish Impact	飞鱼冲击
10110201191	Passive Proximity Detection	被动周身检测
10110201192	Demonic Aura	魔气环绕
10110201193	Infernal Prayer	炼狱祝祷
10110201194	Demonic Miasma	恶魔魔气
10110201195	Realm of Light	圣光领域
10110201196	Blazing Radiance	光辉灼灼
10110201197	Holy Light Pierce	圣光穿刺
10110201198	Holy Light Descending	圣光降临
10110201200	Mavka's Dance	妖仙女之舞
10110201201	Fairy Ward	妖仙女之护
10110201202	Bunny Arrival	兔兔降临
10110201203	Bunny Brigade	兔群出动
10110201204	Here Comes the Big Bunny!	大兔兔来啦
10110201205	Crimson Storm	血色风暴
10110201206	Instinctive Thrill	悸动本能
10110201207	Blood Butterfly Dance	血蝴蝶之舞
10110201208	Execution Time	行刑时刻
10110201209	Path of Execution	行刑命途
10110201210	Executioner's Blade	行刑之刃
10110201211	Rocker Rock	蝗虫摇滚
10110201212	Restorative Craving	回复渴望
10110201213	Petrification Gaze	石化凝视
10110201214	Serpent Sorcery	蛇妖咒术
10110201215	Arcane Silver Serpent	秘术银蛇
10110201216	Flame of Hope	祈望烈焰
10110201217	Divine Hope	神之祈望
10110201218	Piercing Hope	祈望穿刺
10110201219	Formless Entanglement	无形缠绕
10110201220	Soul Prayer	灵魂祷告
10110201221	Soul Siphon	灵魂汲取
10110201222	Collective Surveillance	连带监察
10110201223	Light of Scrutiny	审视光芒
10110201224	Eye of Scrutiny	审视之眼
10110201225	Deliberate Laceration	蓄意裂伤
10110201226	Samurai's Fury	武士之怒
10110201227	Samurai Charge	武士冲锋
10110201228	Flame Breath	火焰喷吐
10110201229	Same Old Trick	故技重施
10110201230	Spreading Frost	霜冻蔓延
10110201231	Frost Breath	冰霜吐息
10110201232	Tidal Hymn	潮汐颂歌
10110201233	Dance of the Sea Monster	海怪之舞
10110201234	Cleaning Time	清洁时间
10110201235	Alice's Protection	爱丽丝守护
10110201236	A Maid's Etiquette	女仆的礼节
10110201237	Monster Normal Attack-Neutral	怪物普攻-无【无需翻译】
10110201238	Monster Normal Attack-Wind	怪物普攻-风【无需翻译】
10110201239	Monster Normal Attack-Earth	怪物普攻-地【无需翻译】
10110201240	Monster Normal Attack-Fire	怪物普攻-火【无需翻译】
10110201241	Monster Normal Attack-Water	怪物普攻-水【无需翻译】
10110201242	Monster Normal Attack-Poison	怪物普攻-毒【无需翻译】
10110201243	Monster Normal Attack-Holy	怪物普攻-光【无需翻译】
10110201244	Monster Normal Attack-Shadow	怪物普攻-暗【无需翻译】
10110201245	Monster Normal Attack-Ghost	怪物普攻-念【无需翻译】
10110201246	Monster Normal Attack-Eternal	怪物普攻-永恒【无需翻译】
10110201247	Archer Skeleton Mark-Undead	邪骸弓箭手点名-不死【无需翻译】
10110201248	Archer Skeleton Normal Attack-Undead	邪骸弓箭手普攻-不死【无需翻译】
10110201249	Goblin Archer Rectangle-Poison	哥布林弓箭手矩形-毒【无需翻译】
10110201250	Orc Archer ST-Earth	兽人弓箭手单体-地【无需翻译】
10110201251	Poison Mushroom AOE-Poison	毒蘑菇AOE-毒【无需翻译】
10110201252	Minorous AOE-Fire	米洛斯AOE-火【无需翻译】
10110201253	Elder Willow Cone-Fire	长老树精扇形-火【无需翻译】
10110201254	Matyr Charge-Shadow	黑狐冲锋-暗【无需翻译】
10110201255	Spawn VFX	出生特效【无需翻译】
10110201256	Ranged Arrow Monster Normal Attack-Neutral	远程箭矢类怪物普攻-无【无需翻译】
10110201257	Ranged Arrow Monster Normal Attack-Wind	远程箭矢类怪物普攻-风【无需翻译】
10110201258	Ranged Arrow Monster Normal Attack-Earth	远程箭矢类怪物普攻-地【无需翻译】
10110201259	Ranged Arrow Monster Normal Attack - Fire	远程箭矢类怪物普攻-火【无需翻译】
10110201260	Ranged Arrow Monster Normal Attack - Water	远程箭矢类怪物普攻-水【无需翻译】
10110201261	Ranged Arrow Monster Normal Attack - Poison	远程箭矢类怪物普攻-毒【无需翻译】
10110201262	Ranged Arrow Monster Normal Attack - Holy	远程箭矢类怪物普攻-圣【无需翻译】
10110201263	Ranged Arrow Monster Normal Attack - Shadow	远程箭矢类怪物普攻-暗【无需翻译】
10110201264	Ranged Arrow Monster Normal Attack - Ghost	远程箭矢类怪物普攻-念【无需翻译】
10110201265	Ranged Arrow Monster Normal Attack - Undead	远程箭矢类怪物普攻-不死【无需翻译】
10110201266	Greatest General Targeting - Fire	将军魔碑点名-火【无需翻译】
10110201267	Obeaune AOE - Water	人鱼AOE-水【无需翻译】
10110201268	Nightmare AOE - Ghost	梦魇AOE-念【无需翻译】
10110201269	Dokebi AOE - Shadow	土人AOE-暗【无需翻译】
10110201270	Golem AOE - Neutral	巨石怪AOE-无【无需翻译】
10110201271	Rotar Zairo Cone - Wind	直升机哥布灵扇形-风【无需翻译】
10110201272	Roda Frog Cone - Water	罗达蛙扇形-水【无需翻译】
10110201273	Verit Charge - Undead	毕莱特冲锋-不死【无需翻译】
10110201274	Savage Charge - Earth	野猪冲锋-地【无需翻译】
10110201275	Spawn Effect - Elite	出生特效-精英【无需翻译】
10110201276	Test Transform@{1}	测试变身@{1}(无需翻译)
10110201277	Distribute Gifts	分发礼物(无需翻译)
10110201278	Random Teleport	随机传送(无需翻译)
10110201279	Poring Transform	波利变身术(无需翻译)
10110201280	Great Leap	大跳(无需翻译)
10110201281	Knockback	击退(无需翻译)
10110201282	Burrow and Hide	钻地隐身(无需翻译)
10110201283	Shield	护盾(无需翻译)
10110201284	Slow	减速(无需翻译)
10110201285	Acid Spray	酸液喷射(无需翻译)
10110201286	Charge	冲锋(无需翻译)
10110201287	Knock-Up	击飞(无需翻译)
10110201288	Clone	分身(无需翻译)
10110201289	Immobilize	禁锢(无需翻译)
10110201290	Haste	加速(无需翻译)
10110201291	Move back Afterimage	后退回影(无需翻译)
10110201292	Easy Movement	简单位移(无需翻译)
10110201293	Haze Formation	霞阵(无需翻译)
10110201294	Normal Attack	普攻【无需翻译】
10110201295	Pyroblast@{1}	炎爆术@{1}【无需翻译】
10110201296	Lava Heat Wave@{1}	熔岩热浪@{1}【无需翻译】
10110201297	Summon Thief Bug@{1}	盗虫召唤@{1}【无需翻译】
10110201298	Enter Wormhole	钻入虫洞
10110201299	Orc Hero Normal Attack - Ground	兽人英雄普攻-地（无需翻译）
10110201300	Terrifying Roar	破胆怒吼（无需翻译）
10110201301	Blade Whirlwind	刀刃旋风（无需翻译）
10110201302	Spinning Blade Strike	旋刃打击（无需翻译）
10110201303	Shatter Blade	碎刃（无需翻译）
10110201304	Rock Shatter	碎石击（无需翻译）
10110201305	Blade Deflection	弹刀（无需翻译）
10110201306	Blade Deflection - Repeat Until Death	弹刀递归到死（无需翻译）
10110201307	Blade Mountain - Rise	刀山-起（无需翻译）
10110201308	Blade Mountain - True Fall	刀山-真落（无需翻译）
10110201309	Blade Mountain - False Fall	刀山-假落（无需翻译）
10110201310	Stone Blades - Outer Ring	石刀-外圈（无需翻译）
10110201311	Stone Blades - Inner Ring	石刀-内圈（无需翻译）
10110201312	Heavy Shield Defense - Raise Shield Start	重盾防御-举盾起手（无需翻译）
10110201313	Heavy Shield Defense - Shield Raised	重盾防御-举盾持续（无需翻译）
10110201314	Heavy Shield Defense - Broken While Raising Shield	重盾防御-举盾中被打破（无需翻译）
10110201315	Heavy Shield Defense - Full-screen AOE	重盾防御-全屏AOE（无需翻译）
10110201316	Heavy Shield Defense - Alternate	重盾防御-备用（无需翻译）
10110201317	Ring Blade Kunai - Boss Leap	环刃飞刀-Boss起跳（无需翻译）
10110201318	Ring Blade Kunai - Boss Landing	环刃飞刀-Boss落地（无需翻译）
10110201319	Ring Blade Kunai - Player Blade Deflection	环刃飞刀-玩家弹刀（无需翻译）
10110201320	Ringblade Kunai-Player Shield	环刃飞刀-玩家盾牌（无需翻译）
10110201321	Ringblade Kunai-Launch Blade	环刃飞刀-发射刀刃（无需翻译）
10110201322	Ringblade Kunai-Kunai	环刃飞刀-飞刀（无需翻译）
10110201323	Ringblade Kunai-Add Player Tag	环刃飞刀-玩家增加标签（无需翻译）
10110201324	Ringblade Kunai-Alternate	环刃飞刀-备用（无需翻译）
10110201325	Blink	闪现（无需翻译）
10110201326	Blink Alternate	闪现备用（无需翻译）
10110201327	Use Instance Revive Count	使用副本复活次数（无需翻译）
10110201328	Blade Deflection	弹刀
10110201329	Greatblade Slash	巨刃斩击
10110201330	Blade Mountain-Ring-@{1}	刀山-环形-@{1}（无需翻译）
10110201331	Blade Mountain-Ring-@{1}-Alternate	刀山-环形-@{1}-备用（无需翻译）
10110201332	Blade Mountain-Rectangle-@{1}	刀山-矩形-@{1}（无需翻译）
10110201333	Blade Mountain-Rectangle-@{1}-Alternate	刀山-矩形-@{1}-备用（无需翻译）
10110201334	Link Placeholder	连线占位（无需翻译）
10110201335	Mark Target	点名（无需翻译）
10110201336	Obtain Greatblade	获取巨刃
10110201337	Obtain Shield	获取盾牌
10110201338	Rockbreaker@{1}	碎石击@{1}（无需翻译）
10110201339	Blade Deflection Easy	弹刀简单（无需翻译）
10110201340	Flying Blade Check	飞刃判断（无需翻译）
10110201341	Mark Target@{1}	点名@{1}（无需翻译）
10110201342	Blade Deflection Mechanic Warning	弹刀机制预警（无需翻译）
10110201343	Drake Normal Attack	海盗之王普攻[无需翻译]
10110201344	Falling Cannonball	天降炮弹[无需翻译]
10110201345	Summon Puppets	召唤傀儡[无需翻译]
10110201346	Watch Out for Explosive Barrels	当心炸药桶[无需翻译]
10110201347	Ghost Ship Grand Charge	幽灵船大冲撞[无需翻译]
10110201348	Drake Minion Normal Attack	海盗之王小怪普攻[无需翻译]
10110201349	Drake Water Pillar	海盗之王水柱[无需翻译]
10110201350	Drake Slash	海盗之王劈砍[无需翻译]
10110201351	Drake Thrust	海盗之王突刺[无需翻译]
10110201352	Drake Waterspout	海盗之王水龙卷[无需翻译]
10110201353	Drake Water Blade	海盗之王水刃[无需翻译]
10110201354	Drake Minion Wave Attack	海盗之王小怪发波[无需翻译]
10110201355	Blink	闪现[无需翻译]
10110201356	Falling Cross Cannonballs	天降十字炮弹[无需翻译]
10110201357	Drake Thrust (Quick Stop)	海盗之王突刺（快停）[无需翻译]
10110201358	Falling Cannonball (No Animation)	天降炮弹（无动作）[无需翻译]
10110201359	Drake Waterspout (No Animation)	海盗之王水龙卷（无动作）[无需翻译]
10110201360	Cross Bombardment (No Animation)	十字轰炸（无动作）[无需翻译]
10110201361	Ghost Ship Grand Charge Horizontal@{1}	幽灵船大冲撞横@{1}[无需翻译]
10110201362	Ghost Ship Grand Charge Vertical@{1}	幽灵船大冲撞竖@{1}[无需翻译]
10110201363	Falling Cross Cannonballs (Vertical)	天降十字炮弹（竖）[无需翻译]
10110201364	Falling Explosives	天降炸药[无需翻译]
10110201365	Two Drake Waterspouts	海盗之王水龙卷两个[无需翻译]
10110201366	Four Drake Waterspouts	海盗之王水龙卷四个[无需翻译]
10110201367	Six Drake Waterspouts	海盗之王水龙卷六个[无需翻译]
10110201368	Drake Water Blade@{1}	海盗之王水刃@{1}[无需翻译]
10110201369	Falling Explosive Barrels @{1} sec.	天降炸药桶@{1}秒[无需翻译]
10110201370	Ghost Ship Grand Charge Horizontal Easy	幽灵船大冲撞横简单[无需翻译]
10110201371	Ghost Ship Grand Charge Vertical Easy	幽灵船大冲撞竖简单[无需翻译]
10110201372	Beehive Throw@{1}	蜂巢投掷@{1}【无需翻译】
10110201373	Swarming Bees@{1}	群蜂环绕@{1}【无需翻译】
10110201374	Falling Beehive@{1}	天降蜂巢@{1}【无需翻译】
10110201375	Hornet Assault@{1}	蜂兵来袭@{1}【无需翻译】
10110201376	Hornet Assault+Falling Beehive	蜂兵来袭+天降蜂巢【无需翻译】
10110201377	Animation Only (Phase @{1}	纯动作（阶段@{1}【无需翻译】
10110201378	Enter Stealth in Phase @{1}	阶段@{1}进入隐身【无需翻译】
10110201379	Teleport	传送【无需翻译】
10110201380	Maya Normal Attack	蚁后普攻
10110201381	Stone Glyph Slash (Deprecated)	石字斩（废弃）（无需翻译）
10110201382	Petrifying Mist (Deprecated)	石化迷雾（废弃）（无需翻译）
10110201383	Stone Pillar (Deprecated)	石柱（废弃）（无需翻译）
10110201384	Silk Spit	吐丝
10110201385	Player Link	玩家连线
10110201386	Sandstorm (Deprecated)	沙尘暴（废弃）（无需翻译）
10110201387	Link Distance Check	连线距离检测
10110201388	Reverse Stone Glyph Slash	反向石字斩
10110201389	Sandstorm Tutorial Version	沙尘暴教学版
10110201390	Stone Pillar@{1} (Deprecated)	石柱@{1}（废弃）（无需翻译）
10110201391	Stone Glyph Slash Targeting	石字斩点名
10110201392	Stone Pillar Tracking Target	石柱追踪点名
10110201393	Stone Pillar Random Point Selection	石柱随机选点
10110201394	Petrifying Mist Tracking	石化迷雾追踪
10110201395	Petrifying Cleave - Four Directions	石化顺劈-四向
10110201396	Petrifying Cleave - Tracking	石化顺劈-追踪
10110201397	New Ultimate	新大招
10110201398	Player Link@{1}	玩家连线@{1}
10110201399	Link Distance Check@{1}	连线距离检测@{1}
10110201400	Silk Spit@{1}	吐丝@{1}
10110201401	Sandstorm@{1}	沙暴@{1}
10110201402	New Ultimate@{1}	新大招@{1}
10110201403	Silk Spit Tutorial	吐丝教学
10110201404	Field Skill	场地技
10110201405	Petrifying Mist Tracking - Easy	石化迷雾追踪-简单
10110201406	Stone Glyph Slash Targeting - Easy	石字斩点名-简单
10110201407	Ultimate - Easy	大招-简单
10110201408	Stone Glyph Slash@{1}	石字斩@{1}
10110201409	Silk Spit@{1} Players	吐丝@{1}人
10110201410	Link Red Status Check@{1}	连线变红检测@{1}
10110201411	Link Drag	连线拖拽
10110201412	Stone Pillar Self-Destruct	石柱自爆
10110201413	Cancel Skill	(无需翻译)取消技能
10110201414	Locate	(无需翻译)定位
10110201415	Summon Horong	召唤鬼火
10110201416	Dark Pulse	黑暗脉冲
10110201417	Horong Split	鬼火分裂
10110201418	Summon Mummy	召唤木乃伊
10110201419	Bandage Lash	绷带鞭挞
10110201420	Astral Shift	斗转星移
10110201421	Horong Tracking	鬼火追踪
10110201422	Boss Relative Position Check	(无需翻译)boss相对位置检测
10110201423	Asset Library	(无需翻译)素材库
10110201424	Bandage Lash@{1}	绷带鞭挞@{1}
10110201425	Horong Split@{1}	鬼火分裂@{1}
10110201426	Dark Pulse@{1}	黑暗脉冲@{1}
10110201427	Refresh Horong	刷新鬼火
10110201428	Summon Horong@{1}	召唤鬼火@{1}
10110201429	Pre-Astral Shift Split	斗转星移前分裂
10110201430	Horong Pulse	鬼火脉冲
10110201431	Rotating Dark Pulse	黑暗脉冲旋转
10110201432	Cooldown Placeholder Skill	cd占位技能
10110201433	Teleport to Center	居中传送
10110201434	Cooldown Placeholder Skill@{1} sec.	cd占位技能@{1}秒
10110201435	Pharaoh Normal Attack	法老王普攻
10110201436	Summon Pyramid	召唤金字塔
10110201437	Summon Coffin	召唤棺材
10110201438	Coffin Eruption	棺材喷发
10110201439	Grasp of the Dead	亡者之握
10110201440	Shroud	裹尸布
10110201441	Tear Off the Shroud	撕开裹尸布
10110201442	Shroud Detection	裹尸布检测
10110201443	Coffin Eruption@{1}	棺材喷发@{1}
10110201444	Divine Light Purification	神光涤荡
10110201445	Increase Damage Reduction	增加免伤
10110201446	Laser Summon	激光召唤
10110201447	Summon Coffin + Bandage	召唤棺材+绷带
10110201448	Coffin Bandage Restraint	棺材绷带困人
10110201449	Coffin Restraint@{1}Remove Stealth	棺材困人@{1}移除隐身
10110201450	Pharaoh Ultimate	法老王大招
10110201451	Pharaoh Ultimate Damage	法老王大招伤害
10110201452	Blink	瞬移
10110201453	Pyramid Skill Interrupted	金字塔技能被打断
10110201454	Death Ray	死亡射线
10110201455	Pyramid Laser Damage	金字塔激光伤害
10110201456	Laser	激光
10110201457	Remove Curse	解除诅咒
10110201458	Laser Coffin Shot	激光射棺材
10110201459	Laser Summons Coffins	激光召唤棺材
10110201460	Mummy Normal Attack	木乃伊普攻
10110201461	Mummy Cone Attack	木乃伊扇形
10110201462	Bandage Ambush@{1}	绷带偷袭@{1}
10110201463	Moonlight Flower Normal Attack	月夜猫普攻[无需翻译]
10110201464	Moonlight Flower Ambush	月夜猫偷袭[无需翻译]
10110201465	Moonlight Flower Launches Light Wave	月夜猫发射光波[无需翻译]
10110201466	Moonlight Flower Ground Slam	月夜猫砸地[无需翻译]
10110201467	Moonlight Flower Bell Incoming	月夜猫铃铛来了[无需翻译]
10110201468	Moonlight Flower Bell Cage	月夜猫铃铛牢笼[无需翻译]
10110201469	Moonlight Flower Bell Charge Shuffle	月夜猫铃铛充能打乱[无需翻译]
10110201470	Moonlight Flower Spotlight Game	月夜猫聚光灯游戏[无需翻译]
10110201471	Moonlight Flower Four-Corner Bell	月夜猫四角铃铛[无需翻译]
10110201472	Moonlight Flower Bell Deathrattle	月夜猫铃铛亡语[无需翻译]
10110201473	Moonlight Flower Rapid-Fire Bullets	月夜猫连打子弹[无需翻译]
10110201474	Moonlight Flower Targeted Ground-Slam Bullet	月夜猫点名砸地子弹[无需翻译]
10110201475	Moonlight Flower Circle Underfoot	月夜猫脚下出圈[无需翻译]
10110201476	Moonlight Flower Bell Incoming@{1}	月夜猫铃铛来了@{1}[无需翻译]
10110201477	Moonlight Flower Five-Corner Bell	月夜猫五角铃铛[无需翻译]
10110201478	Moonlight Flower Knockback Ambush	月夜猫击退偷袭[无需翻译]
10110201479	Moonlight Flower Four-Corner Bell Hard	月夜猫四角铃铛困难[无需翻译]
10110201480	Moonlight Flower Five-Corner Bell Hard	月夜猫五角铃铛困难[无需翻译]
10110201481	Moonlight Flower Bell Charge Shuffle, Second Wave	月夜猫铃铛充能打乱第二波[无需翻译]
10110201482	Moonlight Flower Bell Charge Hard Shuffle	月夜猫铃铛充能困难打乱[无需翻译]
10110201483	Moonlight Flower Bell Charge Hard Shuffle, Second Wave	月夜猫铃铛充能困难打乱第二波[无需翻译]
10110201484	Moonlight Flower Spotlight Game Easy, Second Wave	月夜猫聚光灯游戏简单第二波[无需翻译]
10110201485	Moonlight Flower Spotlight Game Hard, Second Wave	月夜猫聚光灯游戏困难第二波[无需翻译]
10110201486	P@{1} Launches @{3} Bubbles Every @{2}s	P@{1}每@{2}s发射@{3}个泡泡
10110201487	EsteP@{1} Random Bubbles	EsteP@{1}随机泡泡
10110201488	Same-Color Colliding Bubbles	同色对撞泡泡
10110201489	Add @{1} Different-Color Bubbles Side by Side	并排加@{1}个异色泡泡
10110201490	Launch Red Bubble	发射红色泡泡
10110201491	Launch Yellow Bubble	发射黄色泡泡
10110201492	Launch Blue Bubble	发射蓝色泡泡
10110201493	Launch Green Bubble	发射绿色泡泡
10110201494	Launch Homing Bubble	发射追踪泡泡
10110201495	Launch Wave	发射海浪
10110201496	Full-Arena Wave	全场波浪
10110201497	Wave Splash	浪花飞溅
10110201498	Cone-Shaped Wave	扇形波浪
10110201499	Create @{1} Grid Bubbles	创建@{1}个井字泡泡
10110201500	Create @{1} Homing Bubbles	创建@{1}个追踪泡泡
10110201501	Create @{1} Different-Color Cross Bubbles	创建@{1}个异色交叉泡泡
10110201502	Create @{1} Same-Color Cross Bubbles	创建@{1}个同色交叉泡泡
10110201503	Launch Red Homing Bubble	发射红色追踪泡泡
10110201504	Launch Yellow Homing Bubble	发射黄色追踪泡泡
10110201505	Launch Blue Homing Bubble	发射蓝色追踪泡泡
10110201506	Launch Green Homing Bubble	发射绿色追踪泡泡
10110201507	Send Stage Message@{1}	发送关卡消息@{1}
10110201508	Launch Stationary Red Bubble	发射原地红色泡泡
10110201509	Launch Stationary Yellow Bubble	发射原地黄色泡泡
10110201510	Launch Stationary Blue Bubble	发射原地蓝色泡泡
10110201511	Launch Stationary Green Bubble	发射原地绿色泡泡
10110201512	Normal Attack@{1}	普攻@{1}
10110201513	Targeted Stationary Bubble	点名原地泡泡
10110201514	Homing Bubble Action	追踪泡泡动作
10110201515	Straight-Line Bubble Action	直线泡泡动作
10110201516	Launch Water Jet	发射水柱
10110201517	P@{1} Applies Buff	P@{1}加buff
10110201518	Straight-Line Bubble Action@{1}	直线泡泡动作@{1}
10110201519	P@{1} Action	P@{1}动作
10110201520	P@{1} Red Bubble	P@{1}红色泡泡
10110201521	P@{1} Yellow Bubble	P@{1}黄色泡泡
10110201522	P@{1} Blue Bubble	P@{1}蓝色泡泡
10110201523	P@{1} Green Bubble	P@{1}绿色泡泡
10110201524	Unstable Red Bubble	不稳定的红色泡泡
10110201525	Unstable Yellow Bubble	不稳定的黄色泡泡
10110201526	Unstable Blue Bubble	不稳定的蓝色泡泡
10110201527	Unstable Green Bubble	不稳定的绿色泡泡
10110201528	P@{1} Red Bubble@{2}	P@{1}红色泡泡@{2}
10110201529	P@{1} Yellow Bubble@{2}	P@{1}黄色泡泡@{2}
